Model,MSE,RMSE,Accuracy (%),R2 Score,Pearson r,AUC-ROC
QFFR (DAVIS),0.33,0.574,91.24,0.789,0.861,0.932
QFFR (KIBA),0.0012,0.0346,98.75,0.531,0.733,0.756
QFFR (BindingDB),0.671,0.819,84.12,0.412,0.622,0.823
