Model,MSE,RMSE,Accuracy (%),R2 Score,Pearson r,AUC-ROC
QNN (DAVIS),0.297,0.545,92.87,0.82,0.884,0.944
QNN (KIBA),0.0008,0.0282,99.22,0.574,0.764,0.793
QNN (BindingDB),0.502,0.708,87.32,0.525,0.711,0.887
